csv_column,target_table_column,transformation,classification,confidence,notes
case_category,CaseMaster.CaseCategoryID,lookup FK (via CaseCategory),DIRECT,High,3 of 4 official values seen (FIR/UDR/PAR); Zero FIR absent from sample
gravity_offence,CaseMaster.GravityOffenceID,lookup FK (via GravityOffence),DIRECT,High,
case_status,CaseMaster.CaseStatusID,lookup FK (via CaseStatusMaster),DIRECT,High,4 distinct statuses seen
state,District.StateID / Unit.StateID / Court.StateID / ArrestSurrender.ArrestSurrenderStateId,"lookup FK, constant 'Karnataka'",DIRECT,High,"single value across all 10,001 rows"
district,District.DistrictName,master row + FK,DIRECT,High,"31 distinct districts, stable"
court,Court.CourtName,master row + FK,DIRECT,High,32 distinct; High Court is state-level (see note)
unit_type,UnitType.UnitTypeName,master row + FK,DIRECT,High,only 'Police Station' present in this sample
unit,Unit.UnitName,master row + FK,DIRECT,High,"71 distinct, always mapped to exactly 1 district"
officer_kgid,Employee.KGID,master row (dedup) + FK,DIRECT,High,natural key; 284 distinct officers
officer_name,Employee.FirstName,DIRECT,DIRECT,Medium,PDF defines only 1 name field; full name stored as-is
officer_rank,Rank.RankName,master row + FK,DIRECT,High,
officer_designation,Designation.DesignationName,master row + FK,DIRECT,High,
officer_dob,Employee.EmployeeDOB,DIRECT,DIRECT,High,
officer_gender,Employee.GenderID,lookup FK (via NEW GenderMaster),TRANSFORMED,Medium,GenderMaster not formally defined in PDF - flagged
officer_blood_group,Employee.BloodGroupID,lookup FK (via NEW BloodGroupMaster),TRANSFORMED,Medium,BloodGroupMaster not formally defined in PDF - flagged
officer_physically_challenged,Employee.PhysicallyChallenged,DIRECT,DIRECT,High,
officer_appointment_date,Employee.AppointmentDate,DIRECT,DIRECT,High,
crime_no,CaseMaster.CrimeNo,DIRECT,DIRECT,High,18-digit structure verified; category-code digit does not match PDF's example table (see report)
case_no,CaseMaster.CaseNo,DIRECT,DIRECT,High,verified = last 9 digits of crime_no in 100% of rows
registered_date,CaseMaster.CrimeRegisteredDate,DIRECT,DIRECT,High,
